0 : 399.52147603034973 , 1.0
1 : 396.51611971855164 , 1.0
2 : 396.05439162254333 , 1.0
3 : 396.383394241333 , 1.0
4 : 396.12905502319336 , 1.0
5 : 397.79897141456604 , 1.0
6 : 397.0957341194153 , 1.0
7 : 397.0486717224121 , 1.0
8 : 396.24877166748047 , 1.0
9 : 396.24521684646606 , 1.0
10 : 396.5074896812439 , 1.0
11 : 396.03920888900757 , 1.0
12 : 396.70572566986084 , 1.0
13 : 352.3614237308502 , 1.0
14 : 396.4324309825897 , 1.0
15 : 352.5913863182068 , 1.0
16 : 396.89914894104004 , 1.0
17 : 396.90923595428467 , 1.0
18 : 396.59351897239685 , 1.0
19 : 395.98044061660767 , 1.0
20 : 393.38596200942993 , 1.0
21 : 391.7421991825104 , 1.0
22 : 391.67202639579773 , 1.0
23 : 391.25677037239075 , 1.0
24 : 390.91647934913635 , 1.0
25 : 347.74520802497864 , 1.0
26 : 392.0627477169037 , 1.0
27 : 390.84778690338135 , 1.0
28 : 348.3025903701782 , 1.0
29 : 391.7379560470581 , 1.0
30 : 391.9705708026886 , 1.0
31 : 391.1379396915436 , 1.0
32 : 391.6336190700531 , 1.0
33 : 348.2610173225403 , 1.0
34 : 392.7063808441162 , 1.0
35 : 392.23066425323486 , 1.0
36 : 391.9178075790405 , 1.0
37 : 392.31960225105286 , 1.0
38 : 392.27710032463074 , 1.0
39 : 391.87634444236755 , 1.0
40 : 392.7169644832611 , 1.0
41 : 349.0492489337921 , 1.0
42 : 392.03635144233704 , 1.0
43 : 392.21496176719666 , 1.0
44 : 391.5542211532593 , 1.0
45 : 391.0313696861267 , 1.0
46 : 391.3079664707184 , 1.0
47 : 391.7177140712738 , 1.0
48 : 391.72255635261536 , 1.0
49 : 391.88523530960083 , 1.0
50 : 391.6574478149414 , 1.0
51 : 391.3623151779175 , 1.0
52 : 391.4676413536072 , 1.0
53 : 391.7863578796387 , 1.0
54 : 391.9674344062805 , 1.0
55 : 391.18236017227173 , 1.0
56 : 392.20048475265503 , 1.0
57 : 392.91660046577454 , 1.0
58 : 393.05755043029785 , 1.0
59 : 392.3749191761017 , 1.0
60 : 392.832088470459 , 1.0
61 : 392.49198484420776 , 1.0
62 : 349.22771406173706 , 1.0
63 : 392.1296808719635 , 1.0
64 : 392.14439821243286 , 1.0
65 : 392.9105682373047 , 1.0
66 : 393.1217362880707 , 1.0
67 : 349.07815051078796 , 1.0
68 : 393.33083486557007 , 1.0
69 : 393.0407977104187 , 1.0
70 : 393.2873287200928 , 1.0
71 : 348.7515079975128 , 1.0
72 : 394.36366534233093 , 1.0
73 : 392.5687475204468 , 1.0
74 : 393.31290912628174 , 1.0
75 : 394.0558214187622 , 1.0
76 : 393.7995617389679 , 1.0
77 : 393.6948571205139 , 1.0
78 : 393.27285408973694 , 1.0
79 : 393.2646987438202 , 1.0
80 : 393.5955271720886 , 1.0
81 : 392.93502593040466 , 1.0
82 : 392.71009850502014 , 1.0
83 : 393.98712944984436 , 1.0
84 : 393.35196709632874 , 1.0
85 : 393.7566456794739 , 1.0
86 : 349.97097063064575 , 1.0
87 : 393.5470247268677 , 1.0
88 : 394.1795675754547 , 1.0
89 : 394.9685091972351 , 1.0
90 : 393.44543504714966 , 1.0
91 : 348.8103861808777 , 1.0
92 : 392.3826982975006 , 1.0
93 : 391.908974647522 , 1.0
94 : 392.78963685035706 , 1.0
95 : 391.91639733314514 , 1.0
96 : 392.28454852104187 , 1.0
97 : 392.7789087295532 , 1.0
98 : 392.2838387489319 , 1.0
99 : 348.478643655777 , 1.0
__________________________________________________________________________________________________
0 : 814.5180401802063 , 57
1 : 722.6629569530487 , 58.0
2 : 811.5824542045593 , 59.0
3 : 812.886837720871 , 61.0
4 : 810.8668398857117 , 61.0
5 : 811.1372036933899 , 62.0
6 : 811.4429688453674 , 63
7 : 812.9213366508484 , 64.0
8 : 810.2272589206696 , 65.0
9 : 810.9136009216309 , 68.0
