,Ensemble,Base Dataset,Original Size,Compressed Size,Compression Time,Reached Optimal ,Number of iterations,Reached Optimal
0,COMPAS-ProPublica.RF7.txt,COMPAS-ProPublica.train7.csv,100,2,2061.381638165003,,1,False
1,COMPAS-ProPublica.RF9.txt,COMPAS-ProPublica.train9.csv,100,2,2631.5607343169977,,1,False
2,COMPAS-ProPublica.RF8.txt,COMPAS-ProPublica.train8.csv,100,2,1480.606773667001,,1,False
3,COMPAS-ProPublica.RF1.txt,COMPAS-ProPublica.train1.csv,100,2,2257.092582194,,1,False
4,COMPAS-ProPublica.RF10.txt,COMPAS-ProPublica.train10.csv,100,2,1845.249906631001,,1,False
5,COMPAS-ProPublica.RF6.txt,COMPAS-ProPublica.train6.csv,100,2,2062.2412681179994,,1,False
6,COMPAS-ProPublica.RF5.txt,COMPAS-ProPublica.train5.csv,100,2,1453.4825179120016,,1,False
7,COMPAS-ProPublica.RF2.txt,COMPAS-ProPublica.train2.csv,100,2,2469.23516045,,1,False
8,COMPAS-ProPublica.RF3.txt,COMPAS-ProPublica.train3.csv,100,2,2501.9411950769936,,1,False
9,COMPAS-ProPublica.RF4.txt,COMPAS-ProPublica.train4.csv,100,2,2539.057226709003,,1,False
