,Ensemble,Train Dataset,Test Dataset,Original Size,Compressed Size,Compression Time,Accuracy on Train Dataset,Compression is Lossless for Train dataset,Percentage of ties in train set,Lossless compression rate for test dataset,Original accuracy on Test Dataset,New accuracy on Test Dataset,Percentage of ties in test set,Percentage of ties in train_set
0,Pima-Diabetes.RF1.txt,Pima-Diabetes.train1.csv,Pima-Diabetes.test1.csv,100,2.0,1.4641507379999998,0.7829232995658466,True,,1.0,0.7662337662337663,0.6883116883116883,0.12987012987012986,0.16931982633863965
1,Pima-Diabetes.RF6.txt,Pima-Diabetes.train6.csv,Pima-Diabetes.test6.csv,100,2.0,1.404880211,0.7988422575976846,True,,1.0,0.7142857142857143,0.6363636363636364,0.2857142857142857,0.2793053545586107
2,Pima-Diabetes.RF10.txt,Pima-Diabetes.train10.csv,Pima-Diabetes.test10.csv,100,2.0,1.4528261409999992,0.7803468208092486,True,,1.0,0.7763157894736842,0.7236842105263158,0.3815789473684211,0.35260115606936415
3,Pima-Diabetes.LITTLE.RF5.txt,Pima-Diabetes.train5.csv,Pima-Diabetes.test5.csv,5,4.0,0.8260046050000014,0.7973950795947902,True,,1.0,0.8311688311688312,0.7402597402597403,0.11688311688311688,0.1316931982633864
4,Pima-Diabetes.RF8.txt,Pima-Diabetes.train8.csv,Pima-Diabetes.test8.csv,100,2.0,1.486044290999999,0.784370477568741,True,,0.987012987012987,0.7792207792207793,0.7662337662337663,0.23376623376623376,0.26049204052098407
5,Pima-Diabetes.LITTLE.RF2.txt,Pima-Diabetes.train2.csv,Pima-Diabetes.test2.csv,5,4.0,0.344305925999997,0.7988422575976846,True,,1.0,0.7792207792207793,0.7922077922077922,0.06493506493506493,0.11577424023154848
6,Pima-Diabetes.LITTLE.RF3.txt,Pima-Diabetes.train3.csv,Pima-Diabetes.test3.csv,5,4.0,0.2968841280000021,0.7814761215629522,True,,1.0,0.6493506493506493,0.6753246753246753,0.14285714285714285,0.07670043415340087
7,Pima-Diabetes.LITTLE.RF4.txt,Pima-Diabetes.train4.csv,Pima-Diabetes.test4.csv,5,4.0,0.3907274439999995,0.7756874095513748,True,,1.0,0.8311688311688312,0.8311688311688312,0.1038961038961039,0.12445730824891461
8,Pima-Diabetes.RF9.txt,Pima-Diabetes.train9.csv,Pima-Diabetes.test9.csv,100,2.0,1.4018973149999994,0.7976878612716763,True,,1.0,0.631578947368421,0.6578947368421053,0.2894736842105263,0.21965317919075145
9,Pima-Diabetes.RF7.txt,Pima-Diabetes.train7.csv,Pima-Diabetes.test7.csv,100,2.0,1.5927048090000007,0.7814761215629522,True,,1.0,0.8181818181818182,0.8051948051948052,0.09090909090909091,0.20694645441389292
10,Pima-Diabetes.LITTLE.RF7.txt,Pima-Diabetes.train7.csv,Pima-Diabetes.test7.csv,5,4.0,0.6690758029999984,0.7785817655571635,True,,1.0,0.7792207792207793,0.7922077922077922,0.1038961038961039,0.10998552821997105
11,Pima-Diabetes.RF3.txt,Pima-Diabetes.train3.csv,Pima-Diabetes.test3.csv,100,2.0,1.421029021999999,0.7901591895803184,True,,1.0,0.7012987012987013,0.7012987012987013,0.22077922077922077,0.17221418234442837
12,Pima-Diabetes.LITTLE.RF9.txt,Pima-Diabetes.train9.csv,Pima-Diabetes.test9.csv,5,4.0,0.37534400300000215,0.8164739884393064,True,,1.0,0.6710526315789473,0.6842105263157895,0.14473684210526316,0.12138728323699421
13,Pima-Diabetes.RF4.txt,Pima-Diabetes.train4.csv,Pima-Diabetes.test4.csv,100,2.0,1.4618435460000043,0.7670043415340086,True,,0.987012987012987,0.8441558441558441,0.7922077922077922,0.3246753246753247,0.30390738060781475
14,Pima-Diabetes.LITTLE.RF8.txt,Pima-Diabetes.train8.csv,Pima-Diabetes.test8.csv,5,4.0,0.5167138179999995,0.7930535455861071,True,,1.0,0.7792207792207793,0.7922077922077922,0.12987012987012986,0.1345875542691751
15,Pima-Diabetes.RF5.txt,Pima-Diabetes.train5.csv,Pima-Diabetes.test5.csv,100,2.0,1.3960123459999991,0.784370477568741,True,,1.0,0.8051948051948052,0.7662337662337663,0.2727272727272727,0.3111432706222865
16,Pima-Diabetes.RF2.txt,Pima-Diabetes.train2.csv,Pima-Diabetes.test2.csv,100,2.0,1.4538412090000037,0.788712011577424,True,,1.0,0.7792207792207793,0.7142857142857143,0.14285714285714285,0.16353111432706222
17,Pima-Diabetes.LITTLE.RF1.txt,Pima-Diabetes.train1.csv,Pima-Diabetes.test1.csv,5,4.0,0.6312438689999951,0.8002894356005789,True,,1.0,0.7142857142857143,0.6753246753246753,0.18181818181818182,0.09985528219971057
18,Pima-Diabetes.LITTLE.RF6.txt,Pima-Diabetes.train6.csv,Pima-Diabetes.test6.csv,5,4.0,0.2706549429999967,0.7901591895803184,True,,1.0,0.6103896103896104,0.6233766233766234,0.18181818181818182,0.11432706222865413
19,Pima-Diabetes.LITTLE.RF10.txt,Pima-Diabetes.train10.csv,Pima-Diabetes.test10.csv,5,4.0,0.41957242099999803,0.7947976878612717,True,,1.0,0.8157894736842105,0.8026315789473685,0.15789473684210525,0.12138728323699421
