,Ensemble,Train Dataset,Test Dataset,Original Size,Compressed Size,Compression Time,Accuracy on Train Dataset,Compression is Lossless for Train dataset,Percentage of ties in train set,Lossless compression rate for test dataset,Original accuracy on Test Dataset,New accuracy on Test Dataset,Percentage of ties in test set,Percentage of ties in train_set
0,FICO.RF7.txt,FICO.train7.csv,FICO.test7.csv,100,2.0,14.313924673000002,0.7158185488154679,True,,1.0,0.6959847036328872,0.6892925430210325,0.0841300191204589,0.0674598958886646
1,FICO.RF9.txt,FICO.train9.csv,FICO.test9.csv,100,2.0,14.47930075299999,0.714543716137257,True,,1.0,0.719885277246654,0.7208413001912046,0.06883365200764818,0.08636991394879422
2,FICO.RF10.txt,FICO.train10.csv,FICO.test10.csv,100,2.0,14.349488390000005,0.7142553643509666,True,,1.0,0.7148325358851675,0.7043062200956938,0.1492822966507177,0.1550881665604419
3,FICO.RF8.txt,FICO.train8.csv,FICO.test8.csv,100,2.0,14.339347825000004,0.7163497290980558,True,,0.9990439770554493,0.7141491395793499,0.7045889101338432,0.07648183556405354,0.07309040688409646
4,FICO.RF1.txt,FICO.train1.csv,FICO.test1.csv,100,2.0,14.324340601000017,0.719111866567513,True,,1.0,0.7217973231357553,0.7122370936902486,0.12523900573613767,0.13757569319026877
5,FICO.RF6.txt,FICO.train6.csv,FICO.test6.csv,100,2.0,14.31852311900002,0.7164559651545734,True,,1.0,0.719885277246654,0.7131931166347992,0.16921606118546845,0.17486454902794007
6,FICO.RF5.txt,FICO.train5.csv,FICO.test5.csv,100,2.0,14.242951507999976,0.7124189950069053,True,,1.0,0.7447418738049714,0.7428298279158699,0.2179732313575526,0.21778391586104323
7,FICO.RF2.txt,FICO.train2.csv,FICO.test2.csv,100,2.0,14.347002879999991,0.7215552958674174,True,,1.0,0.6806883365200764,0.6739961759082218,0.1577437858508604,0.15786677998512696
8,FICO.RF3.txt,FICO.train3.csv,FICO.test3.csv,100,2.0,14.564117533999934,0.7126314671199405,True,,1.0,0.7160611854684512,0.7017208413001912,0.22179732313575526,0.22288324657388717
9,FICO.RF4.txt,FICO.train4.csv,FICO.test4.csv,100,2.0,14.358977848999984,0.7147561882502922,True,,1.0,0.7217973231357553,0.7265774378585086,0.0994263862332696,0.10283650270901944
